Step,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Bwd IAT Mean,Pkt Len Mean,Pkt Len Std,SYN Flag Cnt,RST Flag Cnt,ACK Flag Cnt,PSH Flag Cnt,URG Flag Cnt,Down/Up Ratio
1,2018-02-14 11:11:30,-0.07743849,-0.08604781,-0.017700423,-0.005376056,0.01242061,-0.000714466,0.6210256,-0.021307372,-0.071282715,-0.026006043,-0.07747045,-0.23845822,-0.25873774,-0.015829124,-0.034154266,-0.23990813,0.31527752,-0.2461219,0.06960471
2,2018-02-14 11:11:40,-0.07488578,-0.08663415,-0.021045098,-0.0035962462,0.011241011,-0.0003662929,0.61408275,-0.015846573,-0.07117021,-0.021317936,-0.07721266,-0.23615178,-0.25569338,-0.016998883,-0.027940422,-0.23684245,0.31343138,-0.24322174,0.048761815
3,2018-02-14 11:11:50,-0.071302734,-0.08568432,-0.022930026,-0.0011754483,0.010221109,3.118068e-05,0.59635717,-0.007966019,-0.069949985,-0.015285432,-0.07668613,-0.22983465,-0.24829434,-0.017420882,-0.020781474,-0.22954541,0.30607188,-0.23661388,0.02883938
4,2018-02-14 11:12:00,-0.068327606,-0.084344454,-0.023537504,0.0008918941,0.0093143955,0.00047008693,0.5774865,-0.0005039945,-0.06892288,-0.009426616,-0.0760857,-0.22368723,-0.24088646,-0.0177137,-0.015191246,-0.22246313,0.298332,-0.23150133,0.015500382
5,2018-02-14 11:12:10,-0.065980345,-0.0835161,-0.023956852,0.0021986365,0.00871022,0.001189813,0.56350076,0.005810298,-0.06844075,-0.0043401867,-0.07515368,-0.21989724,-0.2365496,-0.01770053,-0.01137371,-0.2182689,0.29326847,-0.23053652,0.007886872
6,2018-02-14 11:12:20,-0.06435519,-0.08294194,-0.023977768,0.002986677,0.0083222315,0.001854986,0.55284995,0.011076808,-0.06831476,-2.1874905e-05,-0.07426895,-0.21742967,-0.23370852,-0.017628264,-0.008762239,-0.21588683,0.2899915,-0.23144452,0.005141787
7,2018-02-14 11:12:30,-0.063698344,-0.08131109,-0.022852885,0.00405851,0.007761605,0.0011720657,0.5386828,0.01592696,-0.06838563,0.0041454136,-0.07359247,-0.21383515,-0.22802474,-0.01862424,-0.0074022803,-0.21082813,0.2847125,-0.22765766,0.008545205
8,2018-02-14 11:12:40,-0.06344363,-0.07950809,-0.021681648,0.004981771,0.0068653896,-0.00044285506,0.5247689,0.019988056,-0.06876366,0.007938549,-0.073276594,-0.21039215,-0.22191043,-0.020126972,-0.0068318713,-0.20463887,0.27906993,-0.22242527,0.014635026
9,2018-02-14 11:12:50,-0.06311204,-0.07815718,-0.020422861,0.0054089725,0.0064446554,-0.0013933107,0.5141904,0.023453094,-0.069105774,0.011297144,-0.0729016,-0.20788082,-0.2174076,-0.02135138,-0.0061665345,-0.20046255,0.27526534,-0.2200237,0.020034589
10,2018-02-14 11:13:00,-0.06313229,-0.07714038,-0.01974284,0.005763851,0.006269254,-0.0018598661,0.5079394,0.025400363,-0.069438115,0.01301457,-0.072337925,-0.2065902,-0.21501495,-0.021898486,-0.005907636,-0.19825369,0.2731653,-0.21821314,0.02433563
