Step,Timestamp,Infiltration_Score,Predicted_Stage,Predicted_Intensity
1,2018-02-14 11:11:30,0.13317415118217468,Monitoring,0.12815165519714355
2,2018-02-14 11:11:40,0.13039454817771912,Monitoring,0.1250758171081543
3,2018-02-14 11:11:50,0.1255268156528473,Monitoring,0.11973639577627182
4,2018-02-14 11:12:00,0.12114287167787552,Monitoring,0.11497826129198074
5,2018-02-14 11:12:10,0.11888022720813751,Monitoring,0.11254101991653442
6,2018-02-14 11:12:20,0.11754012107849121,Monitoring,0.11110339313745499
7,2018-02-14 11:12:30,0.1160760447382927,Monitoring,0.1095377653837204
8,2018-02-14 11:12:40,0.1146179661154747,Monitoring,0.10798367857933044
9,2018-02-14 11:12:50,0.11376587301492691,Monitoring,0.10707785934209824
10,2018-02-14 11:13:00,0.11331658065319061,Monitoring,0.10660094022750854
